Name,Scientific Name,Occurrence,Allergen Name,Alternative Allergen Name,Allergen Designation,Protein Family,Sequence Known,Allergen Stability,Nature,Properties,Purification
Oyster,Crassostrea gigas,,Tropomyosin,,None,PfamPF00261; Tropomyosin family,Probably incomplete at the N-terminus,,"Leung et al (1996) [1557] demonstrated cross-reactivity between tropomyosins from arthropods (crustacea and insects), tropomyosins from gastropods: abalone (Haliotis diveriscolor) and whelk (Hemifusus ternatana), bivalves: mussel (Perna viridis), pen shell (Pinna atropupurea), scallop, oyster (Crassostrea gigas) and clam (Lutraria philipinarum) and cephalopods: cuttlefish (Sepia madokai), squid (Loligo edulis) and octopus ((Octopus luteus).Ishikawa et al. (1999) [1580] demonstrated cross-reactivity between purified tropomyosin allergens from the Pacific oyster,Crassostrea gigas,Cra g 1, and from horned turban,Turbo cornutus, by ELISA inhibition. Also binding to Cra g 1 was inhibited by extracts of scallop (Patinopecten yessoensis), clam (Tapes japonica), horned turban (Turbo cornutus)or whelk (Neptunea arthritica).",,"Ishikawa et al. (1997) [1537] report purification of two allergens, which they named as Cra g 1 and 2, from the oysterCrassostrea gigasby gel permeation chromatography on a Sephacryl S-300, ion-exchange FPLC on a Mono Q HR 5/5, and reverse-phase HPLC on a TSKgel Phenyl SPW-RP. Although the allergens were separated from each other by ion-exchange FPLC, they showed the same behaviors in gel permeation chromatography and reverse-phase HPLC.Leung & Chu (2001) [1703] expressed a recombinant allergen, Cra g 1.03, as a GST-fusion protein.  A 500-mL overnight culture of a pGEX expressing clone of the Cra g 1.03 cDNA was induced with 1 mmIPTG and the cells were harvested. After which, the cells were suspended in 5 mL of lysis buffer (1% Triton X-100, 1% Tween 20, 10 mmdithiothreitol) and sonicated. The cell lysate was then centrifuged to pellet the debris and the supernatant was added to glutathione agarose (Sigma, St Louis, MO, USA). After incubating for 2 hours on a rocker, the glutathione agarose was washed 3 times with PBST (PBS containing 1% Triton X-100, pH 7.3) and the bound protein eluted with 2 mL of 5 mM reduced glutathione in 50 mM Tris-HCl, pH 8.0. This gave a 59 kDa band on SDS-PAGE and bound IgE from 12/15 oyster allergic sera."
Rice,Oryza sativa,,,,,,,,,,
Rice,Oryza sativa,,,,,,,,,,
Rice,Oryza sativa,,alpha-Globulin,,Major,PfamPF00234; Tryp_alpha_amyl,Yes,,Cross-reactivity with proteins from other plants has not been reported. The most similar protein is the alpha-globulin from maize (51% identical).,,"Limas et al. (1990) [1099] defatted rice endosperm with petroleum ether and extracted the flour with chloroform/ethanol (2/1, v/v). The dried residual flour was extracted with 0.5 M NaCl (2 X 10 volumes, 1 hour, 4Â°C) and proteins precipitated with trichloracetic acid (to 15%). The precipitate was washed with cold acetone and dried.The total NaCl soluble fraction (200 mg. dried weight) was extracted with 20 ml of 0.05M ammonium bicarbonate by stirring overnight at room temperature. The pellet was separated by centrifugation at 17000 x g for 10 minutes, washed twice with 0.05M ammonium bicarbonate and freeze-dried. The pellet was extracted with 20 mls of 70% (v/v) ethanol by stirring overnight at room temperature and centrifugation, washed and freeze-dried as above.The pellet was dissolved in 10% (v/v) acetonitrile in water containing 0.1% (v/v) trifluoracetic acid and applied to a Nucleosil C4 column and eluted with a linear acetonitrile gradient from 28%-34% with 0.1% (v/v) trifluoracetic acid at a flow rate of 1.0 ml/minute. Protein containing fractions were identified by SDS-PAGE and lyophilized.Nakase et al. (1996) [1183] soaked rice seeds in phosphate buffered saline and sonicated them for 30 minutes. After centrifugation, ammonium sulphate was added to the supernatant to 50% saturation. After centrifugation, the precipitate was suspended in H2O and dialysed against H2O. After centrifugation, the pellet was disolved in 20 mm Tris/HCl, pH 8.0, containing 0.1 M NaCl, chromatographed on a DEAE-cellulose column (2.7 cm diameter, 30 cm length, DE-52, Whatman) and eluted with a linear gradient of 0.1-0.5 M NaCl. Alpha-globulin containing fractions were identified by SDS-PAGE, pooled, dialysed and lyophilized."
Rice,Oryza sativa,,Glb33,,Major,PfamPF00903; Glyoxalase,Yes,,Not known,,"Polished rice grains were extracted with 1M NaCl with sonnication and the extract separated by centrifugation at 10,000xg. The protein was precipitated by addition of 70% ammonium sulphate and dialysed against 20mM Tris-HCl, pH 8.6. The extracted proteins were then fractionated on DEAE ion exchange chromatography and the proteins eluted with a 0-0.5M NaCl gradient . Fractions reactive to IgE were dialyzed against 20mM Tris-HCl, pH 8.6 and chromatographed on DEAE-5PW. The proteins eluted with a 0-0.25M NaCl gradient (Usui et al 2001 [217])."
Rice,Oryza sativa,,"Rice Allergenic Protein, RAP",,Major,PfamPF00234; Tryp_alpha_amyl,Yes,,The main cross-reacting proteins appear to be amylase inhibitor homologues found in other cereal species including corn (maize) and millet (Yamada et al 1991[235]; Urisu et al. 1991 [214]),,"The first allergenic alpha-amylase to be purified form rice was a 16,000 dalton protein (Matsuda et al 1988 [108]). Polished rice grains were extracted with 1M NaCl with sonnication and the extract separated by centrifugation at 10,000xg. The protein was precipitated by addition of 70% ammonium sulphate and dialysed against 20mM Tris-HCl, pH 8.6. The extracted proteins were then fractionated on DEAE ion exchange chromatography and the proteins eluted with a 0-0.1M NaCl gradient (Nakase et al 1996 [128])."
Barley,Hordeum vulgare,,,,,,,,,,
Barley,Hordeum vulgare,,,,,,,,,,
Barley,Hordeum vulgare,,Gamma-3 hordein,,None,"Gamma-hordeins from barley, gamma-gliadins from wheat, and a gamma-secalins from rye are related. They are part of the prolamin superfamily of cereal storage proteins.",Yes,,"Wheat omega-5 gliadin, rye gamma-70, gamma-35 secalins and gamma-3 hordein all bind IgE from patients with wheat-dependent exercise induced anaphylaxis.",,"Whole grains were ground and extracted with 0.05 mmol/L PBS with 0.15 mmol/L NaCl for 2 h at room temperature and overnight at + 4Â° C. The extract was centrifuged (30 000g for 20 min). The precipitate was extracted with 75% ethanol at room temperature overnight, centrifuged (30 000gfor 20 min), and the supernatant was collected and filtered. It was evaporated in a vacuum centrifuge and dissolved again in 20% acetonitrile (ACN) containing 0.1% trifluoroacetic acid (TFA). Gel filtration was performed on a Superdex 75 HighLoad 16/60 column (Pharmacia Biotech, Uppsala, Sweden) at a flow rate of 0.5 mL/min in 20% ACN-0.1% TFA for the ethanol-soluble extracts. The fractions showing positive bands in immunoblotting were further purified by reversed-phase chromatography on a Resource RPC 3 mL column (Pharmacia Biotech) using a linear gradient of ACN (20-60% in 60 min) in 0.1% TFA (Palosuo et al. 2001 [136])."
Barley,Hordeum vulgare,,Non-specific lipid transfer protein (nsLTP),,Minor,PFAMPF00234; tryp_alpha_amyl; lipid transfer protein subfamily,Yes,,"The most similar sequences are wheat LTPs with 74-75% identity. This suggests some cross-reactivity with wheat. Battais et al. (2004) [1120] reported that some wheat allergic patients with IgE reactive with wheat LTP also bound barley LTP1.Asero et al. (2001) [794] found a strong IgE reactivity to nsLTP purified from peach peel, carrot, and broccoli, and to a 10 kD protein in both apple and peach immunoblots in serum from a single patient allergic to both beer and Rosaceae fruits. Beer RAST fell from 1.8 IU/mL to 0.1 IU/mL when serum was preabsorbed with recombinant carrot nsLTP (apple, walnut, hazelnut, peanut, maize, and rice also inhibited).",,Purification of the nsLTP from barley has been reported by SÃ¸rensen et al (1993) [901].
Rye,Secale cereale,,,,,,,,,,
Rye,Secale cereale,,,,,,,,,,
Rye,Secale cereale,,Gamma-35 secalin,,None,Prolamine storage proteins,N-terminal peptides only,,"The wheat omega-5 gliadins, rye gamma-70 and gamma-35 secalins, and barley gamma-3 hordein are homologous and show IgE cross-reactivity (Palosuo et al. 2001 [136]).",,"Whole grains were ground and extracted with 0.05 mmol/L PBS with 0.15 mmol/L NaCl for 2 h at room temperature and overnight at + 4Â° C. The extract was centrifuged (30 000 X g for 20 min). The precipitate was extracted with 75% ethanol at room temperature overnight, centrifuged (30 000 X gfor 20 min), and the supernatant was collected and filtered. It was evaporated in a vacuum centrifuge and dissolved again in 20% acetonitrile (ACN) containing 0.1% trifluoroacetic acid (TFA). Gel filtration was performed on a Superdex 75 HighLoad 16/60 column (Pharmacia Biotech, Uppsala, Sweden) at a flow rate of 0.5 mL/min in 20% ACN-0.1% TFA for the ethanol-soluble extracts. The fractions showing positive bands in immunoblotting with antibodies raised in rabbits to omega-5 gliadin were further purified by reversed-phase chromatography on a Resource RPC 3 mL column (Pharmacia Biotech) using a linear gradient of ACN (20-60% in 60 min) in 0.1% TFA (Palosuo et al. 2001 [136])."
Rye,Secale cereale,,Gamma-70 secalin,,None,Secalins part of the prolamin family of seed storage proteins.,N-terminal peptides only,,"The rye-sensitive patients were initially screened for wheat-DEIA and cross-reactivity with other cereals identified (Palosuo et al., 2001 [136]). Antibodies were raised in rabbits to omega-5 gliadin and cross-reactivity with other cereals studied, the proteins purified and used in SPT. In a group of oat-allergic individuals 35 patients also gave IgE-positive immunoblots with rye proteins (Varjonen et al., 1994 [223]). Most frequent bands recognised were 40 kDa, (16/35) and 26 kDa (14/35). A range of other proteins were detected at 7 kDa, 8 kDa, 20 kDa, 24 kDa, 28 kDa, 30 kDa, 40 kDa, 46 kDa, 69 kDa, 79 kDa and 84 kDa.",,"Whole grains were ground and extracted with 0.05 mmol/L PBS with 0.15 mmol/L NaCl for 2 h at room temperature and overnight at + 4Â° C. The extract was centrifuged (30 000 X g for 20 min). The precipitate was extracted with 75% ethanol at room temperature overnight, centrifuged (30 000 X gfor 20 min), and the supernatant was collected and filtered. It was evaporated in a vacuum centrifuge and dissolved again in 20% acetonitrile (ACN) containing 0.1% trifluoroacetic acid (TFA). Gel filtration was performed on a Superdex 75 HighLoad 16/60 column (Pharmacia Biotech, Uppsala, Sweden) at a flow rate of 0.5 mL/min in 20% ACN-0.1% TFA for the ethanol-soluble extracts. The fractions showing positive bands in immunoblotting with antibodies raised in rabbits to omega-5 gliadin were further purified by reversed-phase chromatography on a Resource RPC 3 mL column (Pharmacia Biotech) using a linear gradient of ACN (20-60% in 60 min) in 0.1% TFA (Palosuo et al. 2001 [136])."
Apricot,Prunus armeniaca,,,,,,,,,,
Apricot,Prunus armeniaca,,,,,,,,,,
Apricot,Prunus armeniaca,,Pru ar 1,,Major,Pathogenesis-related protein Bet v I familyPfam PF00407,Yes,,"As a consequence of the homologies found between PR10 proteins in birch (Bet v 1), apple (Mal d 1), apricot (Pru ar 1), hazelnut (Cor a 1) and other vegetable sources, Vieths et al. (2002) [587] suggested that Pru ar 1 is involved in IgE cross-reactive allergies. In most cases Bet v 1 seems to be the sensitizing agent.",,Not reported
Apricot,Prunus armeniaca,,Pru ar 3,,Major,Protease inhibitor/seed storage/LTP familyPfam PF00234,Yes,,"IgE to Pru ar 3 cross-reacts with LTP's from other Prunoideae (eg. peach). IgE binding to nsLTP from some pollens has been implicated (Garcia-Selles et al., 2002 [594]; Pastorello et al., 2000) [150] but the relationship between allergy to pollen and fruit nsLTPs has not been clearly definedPru ar 3 has sequence identity to peach and almond LTPs of 91% and 94%, respectively (Conti et al. 2001) [38]",,"Pru ar 3 was purified by cation-exchange chromatography using a Resource-S column. The gradient length was 20 column volumes, with a flow rate of 6 mL/min. Gel filtration Superdex 75 column equilibrated and eluted with 50 mmol/L sodium acetate 3-hydrate at a flow rate of 0.7 mL/min was used (Pastorello et al. 2000) [150]."
"Shrimp, greasyback shrimp",Metapenaeus ensis,,,,,,,,,,
"Shrimp, greasyback shrimp",Metapenaeus ensis,,,,,,,,,,
"Shrimp, greasyback shrimp",Metapenaeus ensis,,Met e 1,,Major,PfamPF00261; Tropomyosin family,Yes,,"Reese et al. (1997) [1577] determined the sequence of Pen a 1, the tropomyosin fromFarfantepenaeus aztecus. They showed that the 30 DNA substitutions only resulted in a single amino acid substitution. The tryptic peptides reported by Shanti et al. (1993) [1576] fromFenneropenaeus indicusincluded 4 amino acid substitutions in 150 residues. Thus penaeoid shrimp tropomysins are likely to be immunologically almost identical.DeWitt et al. (2004) [1536] report that the level of sequence identity of tropomyosins with Pen a 1 is 99% for lobster (Homarus americanus), 92% for crab (Charybdis feriatus), 78-82% for insects and dust mites, 71% for a nematode (Caenorhabditis elegans) and 57% for both blue muscle (Mytilus edulis) and human, suggesting that IgE cross-reactivity is very likely for the invertebrate tropomysosins. Leung et al (1998) [1554] had earlier reported similar levels of amino acid identity for crab Cha f 1, Met e 1, lobster Pan s 1 and Hom a 1 andHomarus americanusslow muscle, fruit fly and chicken tropomyosins.DeWitt et al. (2004) [1536] also showed specific IgE binding to recombinant Pen a 1 and seven invertebrate extracts with 9 sera. 6 sera bound extracts from crustacea most strongly, 2 bound dust mite extract more strongly and one serum showed similar binding with both extracts. rPen a 1 bound 94% of the IgE from the 6 crustacea specific sera and gave 50% inhibition of the binding of extracts at about 0.1 Âµg/ml.Ayuso et al. (2002) [1543] investigated the binding of IgE to the sequences from other invertebrates related to the epitopes identified by Ayuso et al. (2002) [1545]. The epitope sequences were >90% identical between crustaceans, mites and cockroach. These epitopes were also reported to be related to those found in Pen i 1 fromFenneropenaeus indicus(Shanti et al. 1993 [1576]). However, the epitopes identified from oyster (Ishiwara et al. 1998 [1584]) and horned turban (Ishiwara et al. 1998 [1582]) were different. Ayuso et al. (2002) [1543] suggest that, in general, 2 amino acid substitutions in an epitope removes IgE binding.Leung et al (1996) [1557] used sera from 9 shrimp allergic patients and tested for cross-reactivity on immunoblots. As well as all arthropods (crustacea and insects), IgE binding was seen with all 9 sera to tropomyosins from gastropods: abalone (Haliotis diveriscolor) and whelk (Hemifusus ternatana), bivalves: mussel (Perna viridis), pen shell (Pinna atropupurea), scallop, oyster (Crassostrea gigas) and clam (Lutraria philipinarum) and cephalopods: cuttlefish (Sepia madokai), squid (Loligo edulis) and octopus ((Octopus luteus). None of the sera bound to either chicken or mouse tropomyosin. Reese et al. (1996) [1560] also reported that porcine, bovine and rabbit tropomyosins did not bind IgE.Leung et al (1998) [1555] demonstrated that allergy to both spiny lobster and American lobster (Panulirus stimpsoniandHomarus americanus) was due to tropomyosins and that preincubation of sera with the recombinant shrimp tropomyosin Met e 1 removed their IgE reactivity to lobster muscle extracts.As allergy to crustacea is dominated by reactions to the tropomysosins, clinical data on cross-reactivity and studies on IgE binding to extracts is also informative. Fernandez et al. (2003) [1539] demonstrated IgE binding and SPT reactivity in subjects sensitised by insect and mite allergens without prior exposure to shrimp.In contrast to the extensive observed cross-reactivity in IgE binding, clinical cross-reactivity is less common and some but not all crustacea allergics can tolerate mollusks (Leung et al (1996) [1557]; Ishiwara et al. 1998 [1584]; Ishiwara et al. 1998 [1582]).",,"Leung et al (1998) [1555] report the production of recombinant Met e 1.Naqpal et al (1989) [1572] purified two heat-stable allergens, designated as Sa-I and Sa-II, from boiled shrimp (Fenneropenaeus indicus) extracts. Sa-I was isolated by ultrafiltration, Sephadex G-25, and diethylaminoethyl-Sephacel chromatography and gave a single band on SDS-PAGE at 8.2 kDa. Sa-II was purified by successive chromatography on diethylaminoethyl-Sephacel, Bio-Gel P-200, and Sepharose 4B columns. It gave a singe band at 34 kDa on SDS-PAGE. Shanti et al. (1993) [1576] showed that Sa-II was a tropomysosin and Sa-I a fragment of Sa-II."
"Abalone, perlemoen",Haliotis midae,,,,,,,,,,
"Abalone, perlemoen",Haliotis midae,,,,,,,,,,
"Abalone, perlemoen",Haliotis midae,,Hal m 1,,None,Not known,No,,There are similar mass allergens in snail which bind IgE from abalone allergic patients.,,Not reported.
"Abalone, perlemoen",Haliotis midae,,Tropomyosin,,None,PfamPF00261; Tropomyosin family,"Sequence fromHaliotis asinina,Haliotis diversicolorandHaliotis rufescensare available but only that fromHaliotis diversicolorhas been identified as an allergen.",,"The immunoblotting results of Lopata et al (1997) [1188] suggest that there is IgE cross-reactivity for tropomyosins between abalone and snail, white mussel, black mussel, oyster, and squid.More generally, Leung et al (1996) [1557] demonstrated cross-reactivity between tropomyosins from arthropods (crustacea and insects), tropomyosins from gastropods: abalone (Haliotis diveriscolor) and whelk (Hemifusus ternatana), bivalves: mussel (Perna viridis), pen shell (Pinna atropupurea), scallop, oyster (Crassostrea gigas) and clam (Lutraria philipinarum) and cephalopods: cuttlefish (Sepia madokai), squid (Loligo edulis) and octopus ((Octopus luteus).Chu et al (2000) [1189] also demonstrate IgE cross-reactivity by using recombinant tropomyosins from the abaloneHaliotis diversicolor, the scallopChlamys nobilis, and the mussel Perna viridis to inhibit IgE binding of shrimp allergic sera to shrimp extracts.",,"Production of recombinant abalone,Haliotis diversicolor, tropomyosin as a fusion protein has been reported (Chu et al. 2000 [1189])."
Cod,Gadus morhua,,,,,,,,,,
Cod,Gadus morhua,,,,,,,,,,
Cod,Gadus morhua,,Gad c 1,,Major,"EF hand calcium binding proteins, PfamPF00036; efhand.",Yes,,"Gad c 1 from cod is a beta-parvalbumin. IgE cross-reactivity between the parvalbumin allergens found in most fin fish (Bugajska-Schretter et al, 1998 [1318]; Helbling et al, 1999 [1389]; Sten et al, 2004 [1386]). Van Do et al (2005) [1792] used SPT and ELISA inhibition with 12 patients and their sera to characterize the cross-reactivities of native and some recombinant parvalbumins from 9 species (cod,Gadus morhua, Atlantic salmon,Salmo salar, Atlantic mackerel,Scomber scombrus, tuna,Thunus albacares, herring,Clupea harengus, wolffish,Anarhichas sp., halibut,Hippoglossus hippoglossus,  flounder,Platichthys flesus, and Alaska pollack,Theragra chalcogramma). Cross-reactivity was generally observed although some parvalbumins and extracts were poor inhibitors of IgE binding to cod for some sera i.e. 2/10 sera did not show inhibition by salmon parvalbumin (although surprisingly recombinant salmon parvalbumin caused inhibition).Hilger et al. (2004) [1365] and Hamada et al. (2004) [1586] show that there is also IgE cross-reactivity between fish and frog parvalbumin allergens.",,"Recombinant cod parvalbumins were expressed with histidine tags inE. coli, using the vector pET-19b, and purified from soluble fractions. Parvalbumin with an N-terminal MGHHHHHHHHHHSSGHIDDDDKH tag (His10-T1), containing a cleavage site for enterokinase to allow removal of the tag, gave a single symmetrical peak by HPLC. The yield of His10-T1 was 1.8 mg/200 ml of bacterial culture (Van Do et al. 2003 [1367])."
Cod,Gadus morhua,,Gelatine,,None,Gelatine is derived from denatured collagens.,Mixture,,No IgE cross-reactivity between fish and bovine gelatine was observed by Sakaguchi et al. (2000) [1394].,,Fish gelatine used by Sakaguchi et al. (2000) [1394] was prepared by 0.5 M acetic acid extraction and purified by differential salt precipitation from heat treated fish skins.
Oat,Avena sativa,,,,,,,,,,
Oat,Avena sativa,,,,,,,,,,
Oat,Avena sativa,,66 kDa Allergen,,Major,Not known,No,,"In the study of Varjonen et al. (1994) [223] oat allergic sera cross-reacted with proteins from wheat, rye and barley.",,"The purification (and properties) of oat avenins is reviewed by Shewry, 1999 [511] and that of the 12S globulins by Shotwell, 1999 [199]."
Avocado,Persea americana,,,,,,,,,,
Avocado,Persea americana,,,,,,,,,,
Avocado,Persea americana,,Pers a 1,,Major,"Chitin recognition protein, Pfam,PF00187Chitinase class I, Pfam,PF00182",Yes,,"Prs a 1 is a panallergen involved in the latex-fruit syndrome. There are IgE cross-reactions with other class I endochitinases of fruits such as banana, kiwi, mango and seeds like chestnut and the homologous chitin-binding domain of the latex allergen, hervein. (Sanchez-Monge et al. 2000) [1076]Sequence comparison showed that Prs a 1 and hevein had 70% similarity in their chitin-binding domains (Sowka et al. 1998) [519]",,"Avocado pulp is ground in cold acetone and then defatted with 3x 1:5 (w/v) of the same solvent for 1h at 4C. After allowing solvent to evaporate the dried residue is extracted with 5 volumes of 0.1M sodium phosphate buffer, pH 7.0 containing 0.15M NaCl (PBS) for 1h at 4C. After centrifugation the chitinase is precipitated from the supernatant with 80% ammonium sulphate. Following centrifugation the pellet was dissolved in PBS and acidified to pH 3.5 with 0.1M HCl. After another centrifugation step the supernatant was retained, dialysed against water and freeze-dried. The chitinases were then purified by affinity chromatography in on a column of regenerated chitin in 20mM Tris-HCl pH 8.0 and eluted using a step-wise gradients of 20mM sodium acetate pH 5.5, followed by 20mM acetic acid pH 3.2. Chitinase containing fractions were collected and then subjected to a final purification step on a cation exchange column (MonoS) equilibrated in 10mM sodium acetate (pH 5.3) and eluted with a salt gradient to 0.5M NaCl. (Diaz-Perales et al 1998) [315].Prs a 1 has also been expressed in the yeast Pichia pastoris and purified by cation exchange chromatography (Sowka et al. 1998) [519]."
Lobster,Homarusamericanus,,,,,,,,,,
Lobster,Homarusamericanus,,,,,,,,,,
Lobster,Homarusamericanus,,Hom a 1,,Major,PfamPF00261; Tropomyosin family,Yes,,"Leung et al (1998) [1555] reported the cloning of tropomyosins fromHomarus americanus, Hom a 1,andPanulirus stimpsoni,Pan s 1. The sequence fromPanulirus stimpsonihas 271/274 (98%) residues identical to the splice isoformO44119-2fromHomarus americanus.Leung et al (1998) [1555] reported that binding of IgE from sera from 10/10 crustacean allergic subjects to lobster extracts was inhibited by rMet e 1, rPan s 1 or rHom a 1.Leung et al (1998) [1554] reported the percentage of amino acid identity of crab Cha f 1 with Met e 1, lobster Pan s 1 and Hom a 1 andHomarus americanusslow muscle, fruit fly and chicken tropomyosins as 90%, 91%, 92%, 96%, 69% and 60% respectively. They found that IgE from the sera from 10/10 crab allergic subjects bound rMet e 1, rPan s 1 and rHom a 1.DeWitt et al. (2004) [1536] report that the level of sequence identity of tropomyosins with Pen a 1 is 99% for lobster (Homarus americanus), 92% for crab (Charybdis feriatus), 78-82% for insects and dust mites, 71% for a nematode (Caenorhabditis elegans) and 57% for both blue mussel (Mytilus edulis) and human, suggesting that IgE cross-reactivity is very likely for the invertebrate tropomysosins. DeWitt et al. (2004) [1536] also showed specific IgE binding to recombinant Pen a 1 and seven invertebrate extracts with 9 sera. 6 sera bound extracts from crustacea most strongly, 2 bound dust mite extract more strongly and one serum showed similar binding with both extracts. rPen a 1 bound 94% of the IgE from the 6 crustacea specific sera and gave 50% inhibition of the binding of extracts at about 0.1 µg/ml.",,"Leung et al (1998) [1555] report the production of recombinant Hom a 1 (also rPan s 1 and rMet e 1) as 60 kDa GST-fusion proteins using the pGEX 1 expression system in E. coli. Only the purification of rPan s 1 is explicitly described starting with a 500 ml culture. Cells were suspended in 5 mls of lysis buffer (1% Triton X-100, 1% Tween-20, 10 mM DTT) and sonicated. The cell debris was demoved by centrifugation at 6000 x g for 15 minutes and the supernatant was added to glutathione agarose (Sigma, St. Louis, MO). After incubation for 2 hours on a rocker, the glutathione agarose was washed 3 times with PBS, pH 7.3, containing 1% Triton X-100 and the bound protein eluted in 2 mls of 5 mM reduced glutathione in 50 mM Tris/HCL, pH 8.0.Native tropomyosin was prepared fromHomarus americanusextract was SDS-PAGE as described in immunoblotting."
Lobster,Homarusamericanus,,Pan s 1,,Major,PfamPF00261; Tropomyosin family,Yes,,"Leung et al (1998) [1555] reported the cloning of tropomyosins fromHomarus americanus, Hom a 1,andPanulirus stimpsoni,Pan s 1. The sequence fromPanulirus stimpsonihas 271/274 (98%) residues identical to the splice isoformO44119-2fromHomarus americanus.Leung et al (1998) [1555] reported that binding of IgE from sera from 10/10 crustacean allergic subjects to lobster extracts was inhibited by rMet e 1, rPan s 1 or rHom a 1.Leung et al (1998) [1554] reported the percentage of amino acid identity of crab Cha f 1 with Met e 1, lobster Pan s 1 and Hom a 1 andHomarus americanusslow muscle, fruit fly and chicken tropomyosins as 90%, 91%, 92%, 96%, 69% and 60% respectively. They found that IgE from the sera from 10/10 crab allergic subjects bound rMet e 1, rPan s 1 and rHom a 1.",,"Leung et al (1998) [1555] report the production of recombinant Pan s 1 (also rHom a 1  and rMet e 1) as 60 kDa GST-fusion proteins using the pGEX 1 expression system in E. coli. Only the purification of rPan s 1 is explicitly described starting with a 500 ml culture. Cells were suspended in 5 mls of lysis buffer (1% Triton X-100, 1% Tween-20, 10 mM DTT) and sonicated. The cell debris was demoved by centrifugation at 6000 x g for 15 minutes and the supernatant was added to glutathione agarose (Sigma, St. Louis, MO). After incubation for 2 hours on a rocker, the glutathione agarose was washed 3 times with PBS, pH 7.3, containing 1% Triton X-100 and the bound protein eluted in 2 mls of 5 mM reduced glutathione in 50 mM Tris/HCL, pH 8.0."
Peach,Prunus persica,,,,,,,,,,
Peach,Prunus persica,,,,,,,,,,
Peach,Prunus persica,,Pru p 3,,Major,PFAMPF00234; tryp_alpha_amyl; lipid transfer protein subfamily,Yes,,"IgE cross-reacts with LTP's from other Prunoideae (eg apricot). It is likely that there is much wider cross-reactivity with nsLTPs acting as ""panallergens"" (Pastorello et al. 1999 [154]; Asero et al. 2000 [10]; Asero et al. 2002 [667]; Crespo et al. (2002) [834]). There is evidence of IgE cross-reactivity between peach nsLTP, Pru p 3, and mugwort pollen nsLTP, Ar v 3 (Pastorello et al., 2002 [597]; Lombardero et al., 2004 [1128]). There is evidence of IgE cross-reactivity between peach and citrus (orange and lemon) LTPs (Ahrazem et al. 2005 [1831]). However, Asero et al (2005) [1829] show that bean extract does not significantly bind anti-peach LTP IgE.",,"Sanchez-Monge et al (1999) [172] extracted ground peach skins with phosphate buffered saline (1:10, v:v) for 1h at 4°C. After centrifugation at 10,000 rpm for 25 min, 4°C, the supernatants were dialysed and freeze dried. The protein was then exchanged into 0.1M ammonium acetate using a desalting column, freeze-dried and defatted with cold acetone, followed by ethanol:ether (1:3, v:v) for 1h at 4°C. The residues were dried and applied to a C4 reverse phase column (Vydac 22x250mm, 10um particle size) using a two step linear gradient of acetonitrile in 0.1% (v:v) trifluoroacetic acid (0-40% in 120 min and 40-85% in 30 min; using a flow rate of 1ml/min).Alternative purification methods have been reported by Pastorello et al. (1999) [154] using cation-exchange chromatography followed by gel filtration and by Carnes et al. (2002) [1012] using gel filtration and hydrophobic interaction chromatography.Diaz-Perales et al. (2002) [592] reported the expression of recombinant Pru p 3 in the yeastPichia pastorisusing the pPIC 9 vector. An additional N-terminal glutamate was required for expression. The recombinant product was purified by gel-filtration chromatography followed by RP-HPLC. The IgE binding of native and recombinant Pru p 3 was similar. Diaz-Perales et al (2003) [1010] reported further immunological characterization of the recombinant protein. Zuidmeer et al. (2005) [1830] also purified recombinant Pru p 3 (and Mal d 3) using the yeastPichia pastoris. Proteins were purified via cation exchange chromatography."
Peach,Prunus persica,,Pru p 4,,Major,Pfam;PF00235;Profilin;,Yes,,"There is IgE cross-reactivity between birch pollen profilin, Bet v 2, and Pru p 4. Other pollen andRoseaceaeprofilins, such as Mal d 4, are also likely to cross-react.",,Rodriguez-Perez et al. (2003) [1009] expressed recombinant Pru p 4.01 inE. coli. Pru p 4.01 was identified immunologically but no purification was reported.
Snail,Helix aspersa,,,,,,,,,,
Snail,Helix aspersa,,,,,,,,,,
Snail,Helix aspersa,,Tropomyosin,,Minor,PfamPF00261; Tropomyosin family,Yes,,"Asturias et al (2002) [1662] report that a serum pool from the 4 individuals with IgE binding tropomyosin also recognised 36 kDa proteins from clam, sea snail, octopus and shrimp and a 41 kDa protein from cuttlefish.Van Ree et al. (1996) [1609] reported that sera from 5 of 28 snail allergic indivuduals recognised shrimp, including one of the 2 strongly tropomyosin binding sera and the sera which bound tropomyosin weakly. The weak binder and another sera also recognised blue mussel by RAST.The immunoblotting results of Lopata et al (1997) [1188] suggest that there is IgE cross-reactivity for tropomyosins between abalone and snail, white mussel, black mussel, oyster, and squid.",,"Asturias et al (2002) [1662] purified natural tropomyosin from snail,H. aspersa, foot. Foot muscles were frozen in liquid nitrogen and ground in a mortar. An acetone powder was made and tropomyosin purified by isoelectric precipitation following the method of Smillie (1982). This was further purified on a Sepharose Q column equilibrated with 20 mM phosphate pH 7.0 and gave 33 mg from 44g of snail with a single band on Coomassie blue stained SDS-PAGE.Recombinant snail tropomyosin was expressed inE. coliusing the pKN172 vector giving 5 mg/l of culture and was also purified to give a doublet at 36 kDa by SDS-PAGE."
"Maize, corn",Zea mays,,,,,,,,,,
"Maize, corn",Zea mays,,,,,,,,,,
